DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,LTI,DART,DESCRIPTION,Number_OF_Incidents,HOURS_YOY,LTI_YOY,DART_YOY,OSHA_YOY,LTI_Rate,DART_Rate,OSHA_Rate
Louisville Metro EMS,6/18/2016,NO,NO,Heat Illness,1,538669.3,43,65,88,15.96526849,24.13354539,32.6731076
Louisville Metro EMS,6/18/2016,NO,YES,Other,1,538669.3,43,65,88,15.96526849,24.13354539,32.6731076
Louisville Metro EMS,6/18/2016,YES,YES,Sprain  (ligament),2,538669.3,43,65,88,15.96526849,24.13354539,32.6731076
Louisville Metro EMS,6/18/2016,YES,YES,Strain (muscle/tendon),1,538669.3,43,65,88,15.96526849,24.13354539,32.6731076
Louisville Metro EMS,6/18/2016,NO,YES,Strain (muscle/tendon),1,538669.3,43,65,88,15.96526849,24.13354539,32.6731076
Mayor's Office                ,6/18/2016,NULL,NULL,NULL,0,46420.9,0,0,1,0,0,4.308404189
Metro Animal Services         ,6/18/2016,NULL,NULL,NULL,0,100968.38,2,4,4,3.961636306,7.923272613,7.923272613
Metro Criminal Justice Comm   ,6/18/2016,NULL,NULL,NULL,0,6987.95,0,0,0,0,0,0
Metro Parks & Recreation,6/18/2016,YES,YES,Contusion/Bruise,1,588304.1833,8,19,21,2.719681494,6.459243548,7.139163921
Metro Parks & Recreation,6/18/2016,NO,NO,Cut or Laceration,1,588304.1833,8,19,21,2.719681494,6.459243548,7.139163921
Metro Parks & Recreation,6/18/2016,YES,YES,Other,1,588304.1833,8,19,21,2.719681494,6.459243548,7.139163921
Metro Police,6/18/2016,NO,NO,Bloodborne Pathogen Exposure,3,2906900.69,75,99,147,5.160135003,6.811378204,10.11386461
Metro Police,6/18/2016,YES,YES,Dislocation,1,2906900.69,75,99,147,5.160135003,6.811378204,10.11386461
Metro Police,6/18/2016,YES,YES,Fracture,2,2906900.69,75,99,147,5.160135003,6.811378204,10.11386461
Metro Police,6/18/2016,YES,YES,Multiple injuries,1,2906900.69,75,99,147,5.160135003,6.811378204,10.11386461
Metro Police,6/18/2016,NO,YES,Sprain  (ligament),1,2906900.69,75,99,147,5.160135003,6.811378204,10.11386461
Metro Police,6/18/2016,YES,YES,Wound from a weapon,1,2906900.69,75,99,147,5.160135003,6.811378204,10.11386461
Office of Performance Improvmt,6/18/2016,NULL,NULL,NULL,0,22590.8,0,0,0,0,0,0
OMB ,6/18/2016,NULL,NULL,NULL,0,407895.43,0,1,1,0,0.490321747,0.490321747
Other Officials               ,6/18/2016,NULL,NULL,NULL,0,19500,0,0,0,0,0,0
Parking Authority of River Cty,6/18/2016,NULL,NULL,NULL,0,46444.05,0,1,1,0,4.306256668,4.306256668
Public Health & Wellness,6/18/2016,NULL,NULL,NULL,0,373201.37,0,0,8,0,0,4.287229706
PW&A ,6/18/2016,NO,YES,Sprain  (ligament),2,861858.02,11,63,74,2.552624619,14.61957736,17.17220198
PW&A ,6/18/2016,NO,YES,Strain (muscle/tendon),2,861858.02,11,63,74,2.552624619,14.61957736,17.17220198
Waterfront Development Corp,6/18/2016,NULL,NULL,NULL,0,31334.65,0,0,1,0,0,6.382710514
Youth Detention Services      ,6/18/2016,YES,YES,"Concussion-Brain, cerebral",1,253377.12,7,12,13,5.525360775,9.472047042,10.2613843
Zoo,6/18/2016,NO,NO,Cut or Laceration,1,348567.54,0,5,16,0,2.868884464,9.180430283
Belle of Louisville           ,6/4/2016,NULL,NULL,NULL,0,70149.84,0,0,0,0,0,0
Codes & Regulations,6/4/2016,NO,YES,Strain (muscle/tendon),1,246364.32,3,9,18,2.435417596,7.306252789,14.61250558
Commonwealth Attorney         ,6/4/2016,NULL,NULL,NULL,0,46657.5,0,0,0,0,0,0
Community Services,6/4/2016,NULL,NULL,NULL,0,254178.77,1,1,2,0.786847776,0.786847776,1.573695553
Coroner                       ,6/4/2016,NULL,NULL,NULL,0,31064.25,0,0,0,0,0,0
Corrections                   ,6/4/2016,NO,NO,Strain (muscle/tendon),1,978771.15,16,24,33,3.269405724,4.904108586,6.743149305
County Attorney               ,6/4/2016,NULL,NULL,NULL,0,192329.86,0,0,0,0,0,0
Dept of Information Technology,6/4/2016,NULL,NULL,NULL,0,101526.8,0,0,1,0,0,1.969923212
Develop Louisville,6/4/2016,NULL,NULL,NULL,0,252218.95,1,1,2,0.792961829,0.792961829,1.585923659
Econ Growth & Innovation ,6/4/2016,YES,YES,Contusion/Bruise,1,50122,1,1,1,3.990263756,3.990263756,3.990263756
Econ Growth & Innovation-APCD,6/4/2016,NULL,NULL,NULL,0,94285.3,0,0,0,0,0,0
Emergency Mgt Agency/MetroSafe,6/4/2016,NULL,NULL,NULL,0,398949.77,1,1,1,0.501316243,0.501316243,0.501316243
Fire & Rescue                 ,6/4/2016,YES,YES,Strain (muscle/tendon),1,1201032.85,48,48,53,7.993120255,7.993120255,8.825736948
Fleet & Facilities,6/4/2016,NULL,NULL,NULL,0,367669.25,8,12,18,4.351737329,6.527605994,9.791408991
Human Relations Commission    ,6/4/2016,NULL,NULL,NULL,0,26727,0,0,1,0,0,7.483069555
Human Resources,6/4/2016,NULL,NULL,NULL,0,90409.8,0,0,0,0,0,0
Internal Auditor              ,6/4/2016,NULL,NULL,NULL,0,11387,0,0,0,0,0,0
Kentuckiana Works Foundation,6/4/2016,NULL,NULL,NULL,0,39103.05,0,0,0,0,0,0
Library,6/4/2016,NULL,NULL,NULL,0,441261.27,4,7,7,1.812984856,3.172723498,3.172723498
Louisville Metro Council      ,6/4/2016,NULL,NULL,NULL,0,157646.8,0,0,0,0,0,0
Louisville Metro EMS,6/4/2016,NO,YES,Strain (muscle/tendon),2,540268.8,40,59,83,14.807444,21.8409799,30.7254463
Louisville Metro EMS,6/4/2016,YES,YES,Strain (muscle/tendon),3,540268.8,40,59,83,14.807444,21.8409799,30.7254463
Mayor's Office                ,6/4/2016,NULL,NULL,NULL,0,46405.3,0,0,1,0,0,4.309852538
Metro Animal Services         ,6/4/2016,NULL,NULL,NULL,0,101296.68,2,4,4,3.948796742,7.897593485,7.897593485
Metro Criminal Justice Comm   ,6/4/2016,NULL,NULL,NULL,0,6996.55,0,0,0,0,0,0
Metro Parks & Recreation,6/4/2016,NULL,NULL,NULL,0,589905.2833,6,17,18,2.034224873,5.76363714,6.102674619
Metro Police,6/4/2016,NO,NO,Bloodborne Pathogen Exposure,2,2906865.94,72,96,141,4.953788822,6.605051762,9.701169776
Metro Police,6/4/2016,YES,YES,"Concussion-Brain, cerebral",1,2906865.94,72,96,141,4.953788822,6.605051762,9.701169776
Metro Police,6/4/2016,NO,YES,Dislocation,1,2906865.94,72,96,141,4.953788822,6.605051762,9.701169776
Metro Police,6/4/2016,NO,YES,Fracture,1,2906865.94,72,96,141,4.953788822,6.605051762,9.701169776
Office of Performance Improvmt,6/4/2016,NULL,NULL,NULL,0,22431.9,0,0,0,0,0,0
OMB ,6/4/2016,NULL,NULL,NULL,0,408256.23,0,1,1,0,0.489888421,0.489888421
Other Officials               ,6/4/2016,NULL,NULL,NULL,0,19500,0,0,0,0,0,0
Parking Authority of River Cty,6/4/2016,NULL,NULL,NULL,0,46190.55,0,1,1,0,4.329889988,4.329889988
Public Health & Wellness,6/4/2016,NO,NO,Contusion/Bruise,2,373679.07,0,0,8,0,0,4.281749042
PW&A ,6/4/2016,NO,NO,"Contact dermatitis (Rash, Poison Ivy)",1,862025.6367,11,62,73,2.552128274,14.384723,16.93685127
PW&A ,6/4/2016,YES,YES,"Contact dermatitis (Rash, Poison Ivy)",1,862025.6367,11,62,73,2.552128274,14.384723,16.93685127
PW&A ,6/4/2016,NO,NO,Strain (muscle/tendon),1,862025.6367,11,62,73,2.552128274,14.384723,16.93685127
Waterfront Development Corp,6/4/2016,NULL,NULL,NULL,0,31335.65,0,0,1,0,0,6.382506825
Youth Detention Services      ,6/4/2016,YES,YES,Contusion/Bruise,1,253860.2866,6,11,12,4.727009553,8.66618418,9.454019105
Zoo,6/4/2016,NO,NO,Other,2,347778.99,1,6,16,0.575077868,3.450467206,9.201245883
Belle of Louisville           ,5/21/2016,NULL,NULL,NULL,0,70231.25,0,0,0,0,0,0
Codes & Regulations,5/21/2016,NULL,NULL,NULL,0,246104.52,3,8,18,2.437988542,6.50130278,14.62793125
Commonwealth Attorney         ,5/21/2016,NULL,NULL,NULL,0,46507.5,0,0,0,0,0,0
Community Services,5/21/2016,NULL,NULL,NULL,0,255538.76,1,1,2,0.782660133,0.782660133,1.565320267
Coroner                       ,5/21/2016,NULL,NULL,NULL,0,31255.25,0,0,0,0,0,0
Corrections                   ,5/21/2016,YES,YES,Bloodborne Pathogen Exposure,1,977683.75,18,27,35,3.682172277,5.523258416,7.159779428
Corrections                   ,5/21/2016,NO,NO,Bloodborne Pathogen Exposure,1,977683.75,18,27,35,3.682172277,5.523258416,7.159779428
Corrections                   ,5/21/2016,YES,YES,Contusion/Bruise,1,977683.75,18,27,35,3.682172277,5.523258416,7.159779428
County Attorney               ,5/21/2016,NULL,NULL,NULL,0,191518.26,0,0,0,0,0,0
Dept of Information Technology,5/21/2016,NULL,NULL,NULL,0,100895.6,0,0,1,0,0,1.982246996
Develop Louisville,5/21/2016,YES,YES,Strain (muscle/tendon),1,255279.05,1,1,2,0.783456378,0.783456378,1.566912757
Econ Growth & Innovation ,5/21/2016,NULL,NULL,NULL,0,50930.2,0,0,0,0,0,0
Econ Growth & Innovation-APCD,5/21/2016,NULL,NULL,NULL,0,94414.6,0,0,0,0,0,0
Emergency Mgt Agency/MetroSafe,5/21/2016,NULL,NULL,NULL,0,399017.21,1,1,1,0.501231513,0.501231513,0.501231513
Fire & Rescue                 ,5/21/2016,YES,YES,Sprain  (ligament),2,1203858.2,47,47,52,7.808228577,7.808228577,8.638891192
Fleet & Facilities,5/21/2016,NULL,NULL,NULL,0,369181.05,8,12,18,4.333916922,6.500875384,9.751313075
Human Relations Commission    ,5/21/2016,NULL,NULL,NULL,0,26782.8,0,0,1,0,0,7.467479128
Human Resources,5/21/2016,NULL,NULL,NULL,0,90949.1,0,0,0,0,0,0
Internal Auditor              ,5/21/2016,NULL,NULL,NULL,0,11368.5,0,0,0,0,0,0
Kentuckiana Works Foundation,5/21/2016,NULL,NULL,NULL,0,38720.75,0,0,0,0,0,0
Library,5/21/2016,NULL,NULL,NULL,0,441892.87,4,8,8,1.810393546,3.620787093,3.620787093
Louisville Metro Council      ,5/21/2016,NULL,NULL,NULL,0,157666.1,0,0,0,0,0,0
Louisville Metro EMS,5/21/2016,YES,YES,Cut or Laceration,1,541878.7,38,57,82,14.02527909,21.03791863,30.26507593
Louisville Metro EMS,5/21/2016,NO,YES,Strain (muscle/tendon),2,541878.7,38,57,82,14.02527909,21.03791863,30.26507593
Mayor's Office                ,5/21/2016,NULL,NULL,NULL,0,46420.9,0,0,1,0,0,4.308404189
Metro Animal Services         ,5/21/2016,NULL,NULL,NULL,0,101774.23,2,4,4,3.930268006,7.860536012,7.860536012
Metro Criminal Justice Comm   ,5/21/2016,NULL,NULL,NULL,0,6952.15,0,0,0,0,0,0
Metro Parks & Recreation,5/21/2016,NULL,NULL,NULL,0,590131.25,7,18,19,2.372353608,6.100337849,6.439245507
Metro Police,5/21/2016,NO,NO,Bloodborne Pathogen Exposure,2,2911815.44,77,102,148,5.288796738,7.005938536,10.16547944
Metro Police,5/21/2016,YES,YES,Contusion/Bruise,1,2911815.44,77,102,148,5.288796738,7.005938536,10.16547944
Metro Police,5/21/2016,NO,YES,Dislocation,2,2911815.44,77,102,148,5.288796738,7.005938536,10.16547944
Metro Police,5/21/2016,NO,YES,Fracture,1,2911815.44,77,102,148,5.288796738,7.005938536,10.16547944
Office of Performance Improvmt,5/21/2016,NULL,NULL,NULL,0,22372.8,0,0,0,0,0,0
OMB ,5/21/2016,NULL,NULL,NULL,0,409192.13,0,1,1,0,0.488767954,0.488767954
Other Officials               ,5/21/2016,NULL,NULL,NULL,0,19500,0,0,0,0,0,0
Parking Authority of River Cty,5/21/2016,NULL,NULL,NULL,0,46030.75,0,1,1,0,4.344921601,4.344921601
Public Health & Wellness,5/21/2016,NULL,NULL,NULL,0,373453.82,0,0,6,0,0,3.213248696
PW&A ,5/21/2016,NO,NO,Burn from heat,1,863147.8033,11,64,73,2.548810287,14.82944167,16.9148319
PW&A ,5/21/2016,NO,YES,Contusion/Bruise,1,863147.8033,11,64,73,2.548810287,14.82944167,16.9148319
PW&A ,5/21/2016,NO,YES,Strain (muscle/tendon),3,863147.8033,11,64,73,2.548810287,14.82944167,16.9148319
Waterfront Development Corp,5/21/2016,NULL,NULL,NULL,0,31241.95,0,0,1,0,0,6.401649065
Youth Detention Services      ,5/21/2016,YES,YES,Strain (muscle/tendon),1,253367.7366,6,11,12,4.736198917,8.683031349,9.472397835
Zoo,5/21/2016,NULL,NULL,NULL,0,347000.16,1,7,15,0.57636861,4.034580272,8.645529155
Belle of Louisville           ,5/7/2016,NULL,NULL,NULL,0,70640.26,0,0,0,0,0,0
Codes & Regulations,5/7/2016,NULL,NULL,NULL,0,245038.07,3,8,18,2.44859911,6.529597625,14.69159466
Commonwealth Attorney         ,5/7/2016,NULL,NULL,NULL,0,46395,0,0,0,0,0,0
Community Services,5/7/2016,NULL,NULL,NULL,0,256289.15,1,1,2,0.78036858,0.78036858,1.56073716
Coroner                       ,5/7/2016,NULL,NULL,NULL,0,31475.75,0,0,0,0,0,0
Corrections                   ,5/7/2016,NO,YES,Inflamation,1,976652.99,17,27,34,3.481277419,5.529087665,6.962554837
County Attorney               ,5/7/2016,NULL,NULL,NULL,0,190830.26,0,0,0,0,0,0
Dept of Information Technology,5/7/2016,NULL,NULL,NULL,0,100366.6,0,0,1,0,0,1.992694781
Develop Louisville,5/7/2016,NULL,NULL,NULL,0,258566.15,0,0,1,0,0,0.773496453
Econ Growth & Innovation ,5/7/2016,NULL,NULL,NULL,0,52054.6,0,0,0,0,0,0
Econ Growth & Innovation-APCD,5/7/2016,NULL,NULL,NULL,0,94364.2,0,0,0,0,0,0
Emergency Mgt Agency/MetroSafe,5/7/2016,NULL,NULL,NULL,0,399762.51,1,1,1,0.500297039,0.500297039,0.500297039
Fire & Rescue                 ,5/7/2016,NO,NO,Contusion/Bruise,1,1205965.3,48,48,53,7.960428049,7.960428049,8.789639304
Fire & Rescue                 ,5/7/2016,YES,YES,Sprain  (ligament),1,1205965.3,48,48,53,7.960428049,7.960428049,8.789639304
Fire & Rescue                 ,5/7/2016,YES,YES,Strain (muscle/tendon),1,1205965.3,48,48,53,7.960428049,7.960428049,8.789639304
Fleet & Facilities,5/7/2016,NO,YES,Sprain  (ligament),1,370198.95,8,12,18,4.322000373,6.48300056,9.724500839
Human Relations Commission    ,5/7/2016,NULL,NULL,NULL,0,26987.8,0,0,1,0,0,7.410755971
Human Resources,5/7/2016,NULL,NULL,NULL,0,91454.7,0,0,0,0,0,0
Internal Auditor              ,5/7/2016,NULL,NULL,NULL,0,11379.7,0,0,0,0,0,0
Kentuckiana Works Foundation,5/7/2016,NULL,NULL,NULL,0,38276.45,0,0,0,0,0,0
Library,5/7/2016,NULL,NULL,NULL,0,442404.72,4,8,8,1.808298971,3.616597942,3.616597942
Louisville Metro Council      ,5/7/2016,NULL,NULL,NULL,0,157845.85,0,0,0,0,0,0
Louisville Metro EMS,5/7/2016,YES,YES,Contusion/Bruise,2,543550.3,37,55,81,13.61419541,20.2373175,29.80404941
Louisville Metro EMS,5/7/2016,NO,NO,Contusion/Bruise,1,543550.3,37,55,81,13.61419541,20.2373175,29.80404941
Louisville Metro EMS,5/7/2016,NO,NO,Strain (muscle/tendon),1,543550.3,37,55,81,13.61419541,20.2373175,29.80404941
Louisville Metro EMS,5/7/2016,NO,YES,Strain (muscle/tendon),1,543550.3,37,55,81,13.61419541,20.2373175,29.80404941
Louisville Metro EMS,5/7/2016,YES,YES,Strain (muscle/tendon),1,543550.3,37,55,81,13.61419541,20.2373175,29.80404941
Mayor's Office                ,5/7/2016,NULL,NULL,NULL,0,46404.9,0,0,1,0,0,4.309889688
Metro Animal Services         ,5/7/2016,NULL,NULL,NULL,0,102265.18,2,4,4,3.911399755,7.82279951,7.82279951
Metro Criminal Justice Comm   ,5/7/2016,NULL,NULL,NULL,0,6927.75,0,0,0,0,0,0
Metro Parks & Recreation,5/7/2016,NULL,NULL,NULL,0,590704.65,7,18,20,2.370050752,6.09441622,6.771573578
Metro Police,5/7/2016,NO,NO,Bloodborne Pathogen Exposure,2,2911353.19,81,103,148,5.564422776,7.075747481,10.16709347
Metro Police,5/7/2016,NO,NO,Cut or Laceration,1,2911353.19,81,103,148,5.564422776,7.075747481,10.16709347
Metro Police,5/7/2016,NO,NO,Eye Injury,1,2911353.19,81,103,148,5.564422776,7.075747481,10.16709347
Metro Police,5/7/2016,YES,YES,Infection,1,2911353.19,81,103,148,5.564422776,7.075747481,10.16709347
Metro Police,5/7/2016,NO,NO,Insect Bite,1,2911353.19,81,103,148,5.564422776,7.075747481,10.16709347
Metro Police,5/7/2016,YES,YES,Strain (muscle/tendon),2,2911353.19,81,103,148,5.564422776,7.075747481,10.16709347
Office of Performance Improvmt,5/7/2016,NULL,NULL,NULL,0,22404.6,0,0,0,0,0,0
OMB ,5/7/2016,NULL,NULL,NULL,0,409865.23,0,1,1,0,0.487965276,0.487965276
Other Officials               ,5/7/2016,NULL,NULL,NULL,0,19500,0,0,0,0,0,0
Parking Authority of River Cty,5/7/2016,NULL,NULL,NULL,0,45818.15,0,1,1,0,4.365082396,4.365082396
Public Health & Wellness,5/7/2016,NULL,NULL,NULL,0,373580.4333,0,0,6,0,0,3.212159666
PW&A ,5/7/2016,NO,YES,Contusion/Bruise,1,863369.2067,14,63,71,3.243108485,14.59398818,16.44719303
PW&A ,5/7/2016,NO,YES,Strain (muscle/tendon),1,863369.2067,14,63,71,3.243108485,14.59398818,16.44719303
Waterfront Development Corp,5/7/2016,NULL,NULL,NULL,0,31229.95,0,0,1,0,0,6.404108876
Youth Detention Services      ,5/7/2016,NULL,NULL,NULL,0,253129.4367,6,11,12,4.740657649,8.69120569,9.481315298
Zoo,5/7/2016,NO,YES,Strain (muscle/tendon),1,346614.93,1,7,15,0.57700919,4.03906433,8.65513785
Belle of Louisville           ,4/23/2016,NULL,NULL,NULL,0,70180.44,0,0,0,0,0,0
Codes & Regulations,4/23/2016,NULL,NULL,NULL,0,244439.67,3,8,18,2.454593397,6.545582393,14.72756038
Commonwealth Attorney         ,4/23/2016,NULL,NULL,NULL,0,46320,0,0,0,0,0,0
Community Services,4/23/2016,NULL,NULL,NULL,0,257611.49,1,1,2,0.776362887,0.776362887,1.552725773
Coroner                       ,4/23/2016,NULL,NULL,NULL,0,31682.75,0,0,0,0,0,0
Corrections                   ,4/23/2016,NO,YES,Strain (muscle/tendon),1,974810.39,17,26,33,3.487857777,5.334370718,6.77054745
County Attorney               ,4/23/2016,NULL,NULL,NULL,0,190160.26,0,0,0,0,0,0
Dept of Information Technology,4/23/2016,NULL,NULL,NULL,0,99776.56668,0,0,1,0,0,2.004478673
Develop Louisville,4/23/2016,NULL,NULL,NULL,0,261400.65,0,0,1,0,0,0.765109039
Econ Growth & Innovation ,4/23/2016,NULL,NULL,NULL,0,53161.7,0,0,0,0,0,0
Econ Growth & Innovation-APCD,4/23/2016,NULL,NULL,NULL,0,94399.65,0,0,0,0,0,0
Emergency Mgt Agency/MetroSafe,4/23/2016,YES,YES,Contusion/Bruise,1,400269.91,1,1,1,0.49966284,0.49966284,0.49966284
Fire & Rescue                 ,4/23/2016,NO,NO,Bloodborne Pathogen Exposure,1,1208708.367,49,49,53,8.107828381,8.107828381,8.769691923
Fire & Rescue                 ,4/23/2016,YES,YES,Burn from heat,1,1208708.367,49,49,53,8.107828381,8.107828381,8.769691923
Fire & Rescue                 ,4/23/2016,YES,YES,Sprain  (ligament),1,1208708.367,49,49,53,8.107828381,8.107828381,8.769691923
Fire & Rescue                 ,4/23/2016,YES,YES,Strain (muscle/tendon),1,1208708.367,49,49,53,8.107828381,8.107828381,8.769691923
Fleet & Facilities,4/23/2016,YES,YES,NULL,1,371041.9,8,11,17,4.312181454,5.9292495,9.163385591
Fleet & Facilities,4/23/2016,NO,NO,Cut or Laceration,1,371041.9,8,11,17,4.312181454,5.9292495,9.163385591
Human Relations Commission    ,4/23/2016,NULL,NULL,NULL,0,27079.3,0,0,1,0,0,7.385715288
Human Resources,4/23/2016,NULL,NULL,NULL,0,92427.6,0,0,0,0,0,0
Internal Auditor              ,4/23/2016,NULL,NULL,NULL,0,11332.2,0,0,0,0,0,0
Kentuckiana Works Foundation,4/23/2016,NULL,NULL,NULL,0,37784.95,0,0,0,0,0,0
Library,4/23/2016,YES,YES,Strain (muscle/tendon),1,443333.92,6,10,10,2.706763335,4.511272226,4.511272226
Louisville Metro Council      ,4/23/2016,NULL,NULL,NULL,0,158114.45,0,0,0,0,0,0
Louisville Metro EMS,4/23/2016,NO,NO,Bloodborne Pathogen Exposure,1,546274.9,34,54,78,12.44794516,19.77026585,28.55705067
Louisville Metro EMS,4/23/2016,YES,YES,Strain (muscle/tendon),1,546274.9,34,54,78,12.44794516,19.77026585,28.55705067
Mayor's Office                ,4/23/2016,NULL,NULL,NULL,0,46413.2,0,0,1,0,0,4.309118958
Metro Animal Services         ,4/23/2016,NULL,NULL,NULL,0,102962.78,2,4,4,3.88489899,7.769797979,7.769797979
Metro Criminal Justice Comm   ,4/23/2016,NULL,NULL,NULL,0,6905.25,0,0,0,0,0,0
Metro Parks & Recreation,4/23/2016,YES,YES,Sprain  (ligament),1,590774.9467,8,21,23,2.70830713,7.109306215,7.786382998
Metro Parks & Recreation,4/23/2016,NO,YES,Strain (muscle/tendon),1,590774.9467,8,21,23,2.70830713,7.109306215,7.786382998
Metro Police,4/23/2016,NO,NO,Bloodborne Pathogen Exposure,1,2910436.34,79,101,142,5.428739252,6.940540057,9.75798701
Metro Police,4/23/2016,NO,NO,Exposure to Substance,1,2910436.34,79,101,142,5.428739252,6.940540057,9.75798701
Metro Police,4/23/2016,NO,NO,Human Bite,1,2910436.34,79,101,142,5.428739252,6.940540057,9.75798701
Metro Police,4/23/2016,YES,YES,Multiple injuries,1,2910436.34,79,101,142,5.428739252,6.940540057,9.75798701
Metro Police,4/23/2016,NO,YES,Sudden Illness,1,2910436.34,79,101,142,5.428739252,6.940540057,9.75798701
Office of Performance Improvmt,4/23/2016,NULL,NULL,NULL,0,22364.7,0,0,0,0,0,0
OMB ,4/23/2016,NULL,NULL,NULL,0,409878.83,0,1,1,0,0.487949085,0.487949085
Other Officials               ,4/23/2016,NULL,NULL,NULL,0,19500,0,0,0,0,0,0
Parking Authority of River Cty,4/23/2016,NULL,NULL,NULL,0,45627.75,0,1,1,0,4.383297445,4.383297445
Public Health & Wellness,4/23/2016,NULL,NULL,NULL,0,373271.5433,0,0,6,0,0,3.214817795
PW&A ,4/23/2016,NO,YES,Crushing,1,862841.3433,14,62,70,3.245092532,14.37112407,16.22546266
PW&A ,4/23/2016,NO,YES,Fracture,1,862841.3433,14,62,70,3.245092532,14.37112407,16.22546266
Waterfront Development Corp,4/23/2016,NULL,NULL,NULL,0,31247.2,0,0,1,0,0,6.400573491
Youth Detention Services      ,4/23/2016,YES,YES,Contusion/Bruise,1,253067.2533,6,11,12,4.741822516,8.69334128,9.483645033
Zoo,4/23/2016,NULL,NULL,NULL,0,345797.18,1,6,15,0.578373716,3.470242296,8.675605741
Belle of Louisville           ,4/9/2016,NULL,NULL,NULL,0,69741.51,0,0,0,0,0,0
Codes & Regulations,4/9/2016,NULL,NULL,NULL,0,243712.97,3,8,18,2.46191247,6.565099921,14.77147482
Commonwealth Attorney         ,4/9/2016,NULL,NULL,NULL,0,46177.5,0,0,0,0,0,0
Community Services,4/9/2016,NULL,NULL,NULL,0,259041.09,1,1,2,0.772078283,0.772078283,1.544156566
Coroner                       ,4/9/2016,NULL,NULL,NULL,0,31957.25,0,0,0,0,0,0
Corrections                   ,4/9/2016,YES,YES,Contusion/Bruise,1,973785.39,18,27,34,3.696913136,5.545369704,6.983058146
Corrections                   ,4/9/2016,NO,YES,Sprain  (ligament),1,973785.39,18,27,34,3.696913136,5.545369704,6.983058146
County Attorney               ,4/9/2016,NULL,NULL,NULL,0,189677.5,0,0,0,0,0,0
Dept of Information Technology,4/9/2016,NULL,NULL,NULL,0,99202.36668,0,0,1,0,0,2.016080933
Develop Louisville,4/9/2016,NULL,NULL,NULL,0,263841.45,0,0,1,0,0,0.758031007
Econ Growth & Innovation ,4/9/2016,NULL,NULL,NULL,0,54423.9,0,0,0,0,0,0
Econ Growth & Innovation-APCD,4/9/2016,NULL,NULL,NULL,0,94591.5,0,0,0,0,0,0
Emergency Mgt Agency/MetroSafe,4/9/2016,NULL,NULL,NULL,0,400942.31,0,0,0,0,0,0
Fire & Rescue                 ,4/9/2016,YES,YES,Strain (muscle/tendon),2,1208857.667,47,47,50,7.775936125,7.775936125,8.272272473
Fleet & Facilities,4/9/2016,NULL,NULL,NULL,0,373271.5,8,11,16,4.286424225,5.893833309,8.572848449
Human Relations Commission    ,4/9/2016,NULL,NULL,NULL,0,27060,0,0,1,0,0,7.390983001
Human Resources,4/9/2016,NULL,NULL,NULL,0,92439.4,0,0,0,0,0,0
Internal Auditor              ,4/9/2016,NULL,NULL,NULL,0,11291.5,0,0,0,0,0,0
Kentuckiana Works Foundation,4/9/2016,NULL,NULL,NULL,0,37448.15,0,0,0,0,0,0
Library,4/9/2016,NULL,NULL,NULL,0,444071.42,5,9,9,2.251890023,4.053402041,4.053402041
Louisville Metro Council      ,4/9/2016,NULL,NULL,NULL,0,158348.2,0,0,0,0,0,0
Louisville Metro EMS,4/9/2016,YES,YES,Bloodborne Pathogen Exposure,1,548877.5,33,53,76,12.024541,19.3121416,27.69288229
Mayor's Office                ,4/9/2016,NULL,NULL,NULL,0,45797.7,0,0,1,0,0,4.367031532
Metro Animal Services         ,4/9/2016,NULL,NULL,NULL,0,103327.03,2,4,4,3.871203885,7.742407771,7.742407771
Metro Criminal Justice Comm   ,4/9/2016,NULL,NULL,NULL,0,6869.75,0,0,0,0,0,0
Metro Parks & Recreation,4/9/2016,NULL,NULL,NULL,0,590567.9633,8,20,22,2.709256342,6.773140855,7.450454941
Metro Police,4/9/2016,YES,YES,"Concussion-Brain, cerebral",1,2917343.79,82,104,143,5.621552063,7.129773348,9.803438353
Metro Police,4/9/2016,YES,YES,Puncture,1,2917343.79,82,104,143,5.621552063,7.129773348,9.803438353
Metro Police,4/9/2016,YES,YES,Strain (muscle/tendon),1,2917343.79,82,104,143,5.621552063,7.129773348,9.803438353
Office of Performance Improvmt,4/9/2016,NULL,NULL,NULL,0,22362.3,0,0,0,0,0,0
OMB ,4/9/2016,NULL,NULL,NULL,0,410652.63,0,1,1,0,0.487029634,0.487029634
Other Officials               ,4/9/2016,NULL,NULL,NULL,0,19500,0,0,0,0,0,0
Parking Authority of River Cty,4/9/2016,NULL,NULL,NULL,0,45636.95,0,1,1,0,4.382413812,4.382413812
Public Health & Wellness,4/9/2016,NULL,NULL,NULL,0,373015.5233,0,0,6,0,0,3.217024292
PW&A ,4/9/2016,NO,YES,Strain (muscle/tendon),1,867115.2433,16,64,72,3.690397585,14.76159034,16.60678913
Waterfront Development Corp,4/9/2016,NULL,NULL,NULL,0,31288.95,0,0,1,0,0,6.39203297
Youth Detention Services      ,4/9/2016,NULL,NULL,NULL,0,253046.3567,5,10,11,3.951845082,7.903690163,8.69405918
Zoo,4/9/2016,NULL,NULL,NULL,0,344487.65,1,6,15,0.580572337,3.483434022,8.708585054
Belle of Louisville           ,3/26/2016,NULL,NULL,NULL,0,70140.66,0,0,0,0,0,0
